Classifier,AUC_mean,AUC_std,Rec_mean,Rec_std,F1_mean,F1_std,MCC_mean,MCC_std
Random Forest 300,0.8290429869108076,0.013108759948201251,0.5902439024390244,0.04052011640447841,0.6437702647302952,0.014790794906850237,0.3249629735058962,0.031177346232670107
Random Forest 100,0.8243115656963023,0.013946291526495106,0.6317073170731706,0.05609756097560976,0.6407401044716104,0.016100564588680664,0.3316869987167271,0.03791667669535489
Extra Trees 200,0.816307846362921,0.011666347472292657,0.6365853658536584,0.05502689840330965,0.6425270240441884,0.022558923283666692,0.3357157318245242,0.04550613170233514
LR L1 C=0.1,0.7945783563407482,0.021243958535011667,0.9121951219512194,0.03483623623679439,0.5162753829838781,0.008621071581996464,0.28871958027176314,0.018891720820144682
AdaBoost 100,0.7878907088191118,0.015624055724983602,0.5609756097560976,0.06360197468490389,0.6044895040207062,0.015396956957587577,0.26047899733707347,0.03933933111117764
